Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776013167,50,,Aggregated,108.000000,0.000000,54,130,170,190,340,610,960,1100,1700,2300,2300,9136,0,54,144.80613767712475,11.51329101412557,2308.3619590033777,11441.492994746059
1776013168,50,,Aggregated,113.600000,0.000000,56,140,170,190,350,620,960,1100,1700,2300,2300,9263,0,56,147.7182315518778,11.51329101412557,2308.3619590033777,11451.58048148548
1776013169,50,,Aggregated,119.200000,0.000000,57,140,180,200,370,640,990,1100,1700,2300,2300,9372,0,57,151.65614394240478,11.51329101412557,2308.3619590033777,11463.741357234316
1776013170,50,,Aggregated,123.100000,0.000000,58,140,180,200,380,660,990,1100,1700,2300,2300,9495,0,58,154.71854155536582,11.51329101412557,2308.3619590033777,11469.524170616114
1776013171,50,,Aggregated,122.400000,0.000000,59,140,180,200,400,670,1000,1100,1700,2300,2300,9637,0,59,157.60464930622987,11.51329101412557,2308.3619590033777,11464.986614091522
1776013172,50,,Aggregated,125.300000,0.000000,61,140,180,210,420,700,1000,1100,1700,2300,2300,9787,0,61,160.94593650063356,11.51329101412557,2308.3619590033777,11453.29528966997
1776013173,50,,Aggregated,126.900000,0.000000,62,150,190,210,430,720,1000,1100,1700,2300,2300,9920,0,62,163.49416956437938,11.51329101412557,2308.3619590033777,11467.75433467742
1776013174,50,,Aggregated,130.000000,0.000000,64,150,190,220,450,720,1000,1100,1600,2300,2300,10058,0,64,166.44177547670168,11.51329101412557,2308.3619590033777,11468.165440445417
1776013175,50,,Aggregated,131.900000,0.000000,65,150,190,220,450,730,1000,1100,1600,2300,2300,10185,0,65,168.844736192221,11.51329101412557,2308.3619590033777,11456.271575846833
1776013176,50,,Aggregated,133.400000,0.000000,67,150,190,230,470,740,1000,1100,1600,2300,2300,10312,0,67,172.17206694790897,11.51329101412557,2308.3619590033777,11475.879460822343
1776013177,50,,Aggregated,134.200000,0.000000,68,160,200,240,480,740,990,1100,1600,2300,2300,10416,0,68,175.07136096687066,11.51329101412557,2308.3619590033777,11484.669738863287
1776013178,50,,Aggregated,134.500000,0.000000,70,160,200,250,500,740,990,1100,1600,2300,2300,10542,0,70,177.89741303395874,11.51329101412557,2308.3619590033777,11497.037848605578
1776013179,50,,Aggregated,129.200000,0.000000,72,160,200,260,510,730,990,1100,1600,2300,2300,10682,0,72,180.4320999965319,11.51329101412557,2308.3619590033777,11496.323815764837
1776013180,50,,Aggregated,127.200000,0.000000,74,170,210,270,510,730,990,1100,1600,2300,2300,10835,0,74,182.3922272259117,11.51329101412557,2308.3619590033777,11472.055006922012
1776013181,50,,Aggregated,131.200000,0.000000,76,170,210,280,510,730,990,1100,1600,2300,2300,10976,0,76,184.66614521771496,11.51329101412557,2308.3619590033777,11479.636206268222
1776013182,50,,Aggregated,130.500000,0.000000,79,170,220,290,520,740,990,1100,1600,2300,2300,11124,0,79,186.98366634778395,11.51329101412557,2308.3619590033777,11463.616864437252
1776013183,50,,Aggregated,133.300000,0.000000,83,170,220,300,520,730,980,1100,1600,2300,2300,11277,0,83,188.76216687291745,11.51329101412557,2308.3619590033777,11443.947681120866
1776013184,50,,Aggregated,133.700000,0.000000,85,170,230,310,530,730,970,1100,1600,2300,2300,11410,0,85,190.62724648699896,11.51329101412557,2308.3619590033777,11431.54671340929
1776013185,50,,Aggregated,134.300000,0.000000,86,180,230,310,530,730,980,1100,1600,2300,2300,11527,0,86,192.4560097701682,11.51329101412557,2308.3619590033777,11445.211416673896
1776013186,50,,Aggregated,135.800000,0.000000,87,180,240,320,540,740,980,1100,1600,2300,2300,11681,0,87,194.496515780466,11.51329101412557,2308.3619590033777,11438.882544302714
1776013187,50,,Aggregated,133.100000,0.000000,90,180,250,330,550,750,990,1100,1600,2300,2300,11796,0,90,197.18558684838703,11.51329101412557,2308.3619590033777,11464.971091895557
1776013188,50,,Aggregated,136.600000,0.000000,92,180,250,330,550,750,990,1100,1600,2300,2300,11952,0,92,199.05730641362456,11.51329101412557,2308.3619590033777,11449.486027443107
